"product_id","category","brand","season","size","color","original_price","markdown_percentage","current_price","purchase_date","stock_quantity","customer_rating","is_returned","return_reason","item","fit","material","target_gender","season_purchased"
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.01,"2025-07-05",37,3.0,false,"",Denim Jacket,Regular,Cotton Blend,Men,out-of-season
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,119.64,"2025-08-06",2,2.5,false,"",Knit Top,Oversized,Viscose,Men,out-of-season
FB000003,Accessories,Uniqlo,Winter,"",Black,33.8,0.0,33.8,"2025-08-06",22,4.3,false,"",Cap,Slim,Synthetic,Women,out-of-season
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,75.36,"2025-07-07",48,2.6,false,"",Loafers,Oversized,Synthetic,Women,out-of-season
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,105.02,"2025-08-06",10,,false,"",Knit Top,Regular,Wool,Women,out-of-season
FB000006,Accessories,Zara,Fall,"",White,35.03,0.35400001525878905,22.63,"2025-08-06",38,2.9,true,Color Mismatch,Scarf,Relaxed,Synthetic,Men,out-of-season
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,0.545,24.49,"2024-10-29",38,2.6,false,"",Trousers,Oversized,Polyester,Men,out-of-season
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,0.22100000381469725,71.32,"2025-08-06",47,1.6,false,"",Necklace,Relaxed,Mixed,Women,out-of-season
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,0.12800000190734864,198.58,"2025-03-24",14,,false,"",Trench Coat,Relaxed,Wool Blend,Women,in-season
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,0.10899999618530273,221.33,"2025-08-06",37,,false,"",Wool Coat,Oversized,Cotton Blend,Men,out-of-season
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,116.84,"2025-04-25",3,4.4,false,"",Sweater,Relaxed,Viscose,Women,in-season
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,146.98,"2025-08-06",2,3.4,false,"",Loafers,Regular,Synthetic,Men,out-of-season
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.51,"2025-01-04",43,,false,"",Skirt,Relaxed,Polyester,Women,out-of-season
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,48.15,"2025-08-06",39,1.6,false,"",Earrings,Regular,Mixed,Men,out-of-season
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,79.66,"2025-08-06",7,1.7,false,"",Knit Top,Slim,Viscose,Unisex,out-of-season
FB000016,Accessories,Mango,Winter,"",Green,67.57,0.0,67.57,"2025-08-06",17,2.4,false,"",Bag,Regular,Synthetic,Women,out-of-season
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,123.53,"2025-08-06",14,4.6,false,"",Sandals,Relaxed,Synthetic,Men,in-season
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,102.35,"2025-08-06",14,3.5,false,"",Sweater,Slim,Viscose,Women,out-of-season
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,0.585,57.25,"2025-08-06",16,4.1,false,"",Bomber Jacket,Regular,Wool Blend,Men,in-season
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,142.59,"2025-08-06",1,3.7,false,"",Trench Coat,Relaxed,Wool Blend,Men,in-season
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,0.21799999237060547,26.06,"2025-08-06",42,,false,"",Skirt,Oversized,Denim,Women,out-of-season
FB000022,Accessories,Zara,Spring,"",Brown,62.3,0.0,62.3,"2024-09-24",10,2.5,false,"",Bag,Oversized,Leather,Men,out-of-season
FB000023,Accessories,Zara,Winter,"",Pink,38.48,0.0,38.48,"2025-08-06",46,1.2,false,"",Belt,Oversized,Synthetic,Unisex,out-of-season
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,91.36,"2025-08-06",37,1.2,true,Size Issue,Jeans,Regular,Mixed,Women,in-season
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,0.29100000381469726,57.05,"2025-08-06",38,3.6,false,"",Blouse,Oversized,Wool,Women,out-of-season
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,0.34,26.99,"2025-06-11",16,3.7,false,"",Skirt,Relaxed,Denim,Unisex,out-of-season
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,0.36,30.11,"2025-08-06",25,1.1,true,Damaged,Skirt,Oversized,Polyester,Men,in-season
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0.0,53.37,"2025-08-06",28,3.8,false,"",Jeans,Slim,Denim,Unisex,in-season
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0.0,114.35,"2025-08-06",6,1.2,false,"",Necklace,Oversized,Mixed,Men,in-season
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0.0,77.63,"2024-10-24",1,,false,"",Sneakers,Relaxed,Synthetic,Unisex,out-of-season
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0.0,71.29,"2025-08-06",37,4.1,true,Quality Issue,Sandals,Relaxed,Synthetic,Women,in-season
FB000032,Tops,Gap,Spring,L,Purple,37.43,0.24399999618530274,28.3,"2025-04-16",5,,false,"",Blouse,Regular,Cotton,Men,in-season
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0.0,143.78,"2024-10-16",43,1.1,false,"",Ankle Boots,Relaxed,Synthetic,Unisex,out-of-season
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0.0,88.23,"2025-08-06",44,1.6,false,"",Knit Top,Oversized,Wool,Men,in-season
FB000035,Accessories,Forever21,Fall,"",Navy,58.57,0.0,58.57,"2025-08-06",38,1.5,false,"",Bag,Relaxed,Leather,Women,out-of-season
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,0.05699999809265137,112.88,"2025-08-06",37,4.9,false,"",T-Shirt,Oversized,Cotton,Women,out-of-season
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,0.4779999923706055,50.67,"2025-08-06",31,4.1,false,"",Jeans,Relaxed,Cotton,Women,out-of-season
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0.0,110.09,"2025-08-06",32,3.4,false,"",Earrings,Oversized,Mixed,Women,in-season
FB000039,Shoes,Zara,Winter,XS,Green,198.42,0.14199999809265137,170.24,"2025-08-06",10,,false,"",Loafers,Regular,Leather,Women,out-of-season
FB000040,Bottoms,Banana Republic,Winter,"",Purple,101.72,0.0,101.72,"2025-08-06",40,,false,"",Trousers,Slim,Cotton,Men,out-of-season
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0.0,117.86,"2025-08-06",6,,false,"",Blouse,Regular,Cotton,Men,in-season
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0.0,78.86,"2025-08-06",22,4.3,false,"",Hoodie,Oversized,Viscose,Women,in-season
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,0.514000015258789,105.05,"2025-08-06",36,4.0,false,"",Denim Jacket,Oversized,Polyester,Men,out-of-season
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0.0,129.85,"2025-04-25",36,3.3,false,"",Sandals,Regular,Leather,Women,in-season
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0.0,111.3,"2025-08-06",11,1.7,false,"",Sweater,Regular,Cotton,Women,out-of-season
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0.0,73.65,"2025-08-06",33,3.6,false,"",Bracelet,Oversized,Mixed,Women,in-season
FB000047,Shoes,Mango,Summer,L,Pink,147.13,0.3029999923706055,102.55,"2025-08-06",13,4.4,false,"",Sandals,Regular,Leather,Men,in-season
FB000048,Accessories,Ann Taylor,Winter,"",Green,44.6,0.539000015258789,20.56,"2025-08-06",42,2.4,false,"",Cap,Oversized,Synthetic,Women,out-of-season
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0.0,101.8,"2025-08-06",7,2.8,false,"",Skirt,Relaxed,Denim,Women,in-season
FB000050,Accessories,Banana Republic,Summer,"",Brown,16.52,0.5590000152587891,7.29,"2025-08-06",43,,false,"",Bag,Oversized,Synthetic,Women,in-season
